Designator,Mid X,Mid Y,Rotation,Layer
BZ1,137.05,-71.725,180.0,top
C1,117.0,-104.5,270.0,top
C10,118.5,-107.0,270.0,top
C11,138.5,-105.0,180.0,top
C12,146.275,-103.5,0.0,top
C13,115.45,-68.8,270.0,top
C14,126.29,-68.43,270.0,top
C15,130.875,-143.3,0.0,top
C16,128.49,-137.5,90.0,top
C17,131.0,-137.5,90.0,top
C18,128.1,-148.6875,90.0,top
C19,124.75,-148.725,90.0,top
C2,129.5,-110.0,270.0,top
C20,130.6,-149.1,270.0,top
C21,126.2,-120.275,0.0,top
C22,128.2,-125.4,0.0,top
C23,105.5,-114.0,180.0,top
C24,110.0,-113.5,0.0,top
C25,128.4,-92.73,90.0,top
C26,134.0,-106.0,270.0,top
C27,149.05,-99.88,270.0,top
C28,135.85,-94.125,270.0,top
C29,134.35,-94.125,270.0,top
C3,126.5,-92.5,90.0,top
C30,116.01,-120.46,90.0,top
C31,113.675,-90.35,0.0,top
C4,117.5,-98.0,90.0,top
C5,134.92,-103.34,0.0,top
C6,116.0,-98.0,90.0,top
C7,121.0,-109.2,180.0,top
C8,121.0,-110.7,180.0,top
C9,117.5,-112.0,180.0,top
D1,124.287501,-73.0,0.0,top
D2,105.0,-56.5,0.0,top
D3,151.9,-96.1,270.0,top
D4,140.0,-81.5,180.0,top
D5,140.724999,-135.65,180.0,top
D6,139.0,-126.375,180.0,top
D7,139.0,-123.875,180.0,top
FB1,121.0,-112.2,180.0,top
FB2,149.3,-96.0,270.0,top
J1,151.0,-75.6,90.0,top
J10,151.0,-136.6,90.0,top
J11,151.0,-147.12,90.0,top
J12,105.67,-91.18,270.0,top
J13,125.55,-48.15,180.0,top
J14,98.5,-109.0,90.0,top
J15,98.5,-121.0,90.0,top
J16,153.0,-92.3,0.0,top
J2,138.5,-49.0,180.0,top
J3,100.0,-136.66,270.0,top
J4,100.0,-147.16,270.0,top
J5,151.0,-65.06,90.0,top
J6,125.51,-160.1,0.0,top
J7,100.0,-75.54,270.0,top
J8,112.59,-48.95,180.0,top
J9,100.0,-65.06,270.0,top
L1,123.75,-140.2,270.0,top
Q1,109.0,-134.0,270.0,top
Q2,108.45,-146.5625,270.0,top
Q3,145.937501,-57.5,0.0,top
Q4,120.0625,-151.5,180.0,top
Q5,138.5,-62.937501,270.0,top
R1,121.0,-73.0,180.0,top
R10,110.45,-129.4375,0.0,top
R11,122.5,-77.5,270.0,top
R12,124.5,-77.5,270.0,top
R13,105.675,-140.5,0.0,top
R14,108.675,-140.5,0.0,top
R15,107.5,-150.0,270.0,top
R16,139.175,-57.5,0.0,top
R17,142.175,-57.5,0.0,top
R18,147.0,-54.0,90.0,top
R19,112.0,-152.5,0.0,top
R2,148.806,-107.118,180.0,top
R20,115.0,-152.5,0.0,top
R21,117.0,-148.0,90.0,top
R22,111.5,-58.0,0.0,top
R23,114.5,-58.0,0.0,top
R24,116.325,-87.54,180.0,top
R25,116.325,-85.03,180.0,top
R26,116.325,-82.52,180.0,top
R27,116.325,-80.01,180.0,top
R28,116.325,-77.5,180.0,top
R29,143.0,-81.5,0.0,top
R3,124.050001,-56.4625,90.0,top
R30,135.2,-87.125,0.0,top
R31,135.2,-85.625,0.0,top
R32,151.2,-87.2,180.0,top
R33,151.2,-85.7,180.0,top
R34,146.8,-98.0,0.0,top
R35,137.6875,-135.65,180.0,top
R36,105.0,-127.175,270.0,top
R37,117.5,-122.0,90.0,top
R38,135.0,-63.0,90.0,top
R39,136.0,-126.375,180.0,top
R4,120.850001,-56.4625,90.0,top
R40,136.0,-123.875,180.0,top
R41,136.21,-59.43,180.0,top
R5,134.175001,-141.275,0.0,top
R6,130.675,-141.275,0.0,top
R7,133.175,-148.65,180.0,top
R8,107.95,-137.4375,270.0,top
R9,107.45,-129.4275,0.0,top
SW1,152.896,-106.134,90.0,top
U1,125.75,-101.810392,315.0,top
U10,106.2,-160.015,0.0,top
U11,109.8,-160.015,0.0,top
U12,113.4,-160.015,0.0,top
U13,117.0,-160.015,0.0,top
U14,125.8,-122.8,0.0,top
U15,107.5,-111.735,135.0,top
U16,142.625,-88.9875,0.0,top
U17,140.515,-99.0,90.0,top
U18,156.94,-120.5,270.0,top
U19,135.515,-113.0,90.0,top
U2,128.0,-57.0,270.0,top
U20,110.5,-123.0,270.0,top
U21,126.01,-87.0,90.0,top
U22,126.01,-83.35,90.0,top
U3,121.0,-68.0,180.0,top
U4,112.5,-73.23,0.0,top
U5,131.8625,-145.825,180.0,top
U6,134.0,-160.0,0.0,top
U7,137.6,-160.015,0.0,top
U8,141.2,-160.0,0.0,top
U9,144.8,-160.015,0.0,top
Y1,142.4,-104.2,0.0,top
